MIDAS,Lake,Town,Station,Min_Sec,Min_Sec_Bottom,Mean_Sec,Mean_Sec_Bottom,Max_Sec,Max_Sec_Bottom,Num_Months_Secchi,Min_Col,Mean_Col,Max_Col,Min_Chla,Mean_Chla,Max_Chla,Ph,Alkalinity,Conductivity,Tphos_Ec,Tphos_Sg,Tphos_Bg,Tphos_Pg,Tsi_Sec,Tsi_Chl,Tsi_Tpec,Tsi_Tppg
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",8,8,NA,8.8,NA,10.1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",9,7.4,NA,8.9,NA,10.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",10,8.6,NA,11.2,NA,14.6,NA,6,7,7,7,1.8,1.8,1.8,7.46,7.8,53,4,NA,3,NA,13,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",11,5.7,NA,9.1,*,13.8,NA,13,8,9,9,1.6,1.8,1.9,7.36,7.8,48,4,3,NA,NA,19,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",12,6.5,NA,8.7,NA,10.7,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",13,6.8,NA,6.8,NA,6.8,NA,1,22,22,22,2.5,2.5,2.5,7.06,6.8,44,3,NA,NA,NA,NA,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",50,2,NA,2.1,NA,2.1,NA,2,30,34,37,3.3,3.7,4,6.74,8,48,13,17,NA,NA,NA,NA,NA,NA
9685,Bay of Naples Lake (Brandy Pond),Naples,1,3.7,NA,6.6,*,9,NA,41,1,16,40,0.9,2.5,8.2,6.74,8.5,45,7,NA,11,9,35,36,31,32
9685,Bay of Naples Lake (Brandy Pond),Naples,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,NA,NA,NA,12,5,5,NA,NA,NA,NA
9705,North Gorham Pond,"Gorham, Standish, Windham",1,5.7,NA,6.6,NA,6.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,34,NA,NA,NA
