MIDAS,Lake,Town,StationName,Date,Year,Secchi_Depth,Station
5786,Sebago Lake,"Gray, Windham",Big Bay,2000-10-17T00:00:00Z,2000,11.5,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2000-11-08T00:00:00Z,2000,12.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2001-05-22T00:00:00Z,2001,9.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2001-06-19T00:00:00Z,2001,11.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2001-07-25T00:00:00Z,2001,10.600000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2001-08-22T00:00:00Z,2001,8.800000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2001-09-26T00:00:00Z,2001,10.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2001-10-29T00:00:00Z,2001,12.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2001-11-27T00:00:00Z,2001,12.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2002-05-30T00:00:00Z,2002,9.899999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2002-06-18T00:00:00Z,2002,11.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2002-07-31T00:00:00Z,2002,12.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2002-08-26T00:00:00Z,2002,12.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2002-09-19T00:00:00Z,2002,10.899999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2002-10-15T00:00:00Z,2002,12.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2002-11-20T00:00:00Z,2002,13.5,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2003-05-28T00:00:00Z,2003,9.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2003-06-17T00:00:00Z,2003,10.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2003-07-29T00:00:00Z,2003,13.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2003-08-20T00:00:00Z,2003,9.899999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2003-09-30T00:00:00Z,2003,10.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2003-10-31T00:00:00Z,2003,11.800000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2004-05-12T00:00:00Z,2004,11.899999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2004-06-23T00:00:00Z,2004,11.899999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2004-07-27T00:00:00Z,2004,11.800000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2004-08-17T00:00:00Z,2004,11.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2004-09-27T00:00:00Z,2004,12.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2004-10-29T00:00:00Z,2004,11.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2005-05-18T00:00:00Z,2005,9.899999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2005-06-30T00:00:00Z,2005,8.800000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2005-07-20T00:00:00Z,2005,9.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2005-09-06T00:00:00Z,2005,9.5,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2005-09-28T00:00:00Z,2005,10.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2005-10-31T00:00:00Z,2005,10.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2006-05-25T00:00:00Z,2006,9.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2006-06-28T00:00:00Z,2006,8.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2006-07-26T00:00:00Z,2006,9.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2006-08-16T00:00:00Z,2006,6.900000095367432,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2006-09-27T00:00:00Z,2006,9.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2006-10-31T00:00:00Z,2006,9.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2007-05-24T00:00:00Z,2007,9.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2007-06-26T00:00:00Z,2007,8.800000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2007-07-25T00:00:00Z,2007,8.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2007-08-16T00:00:00Z,2007,9.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2007-09-14T00:00:00Z,2007,9.5,101
